NAME,PERIOD_UID,CHRON_ORDER,PARENT_UID,MIN_DATE,MAX_DATE,DESCRIPTION,VALID_FLAG,SHORT_NAME,altLabel
Phanerozoic,-5,-5,,,,"The Phanerozoic is the current eon in the geologic time scale. It extends from approximately 542 million years ago until the present and is marked by the rapid expansion and evolution of life forms allowed by the development of plants carrying out photosynthesis, thus releasing oxygen into the atmosphere. It contains the Paleozoic, Mesozoic, and Cenozoic eras.",Y,GPHA,
Cenezoic,-4,-4,-5,,,"The youngest era of the Phanerozoic. It follows the Mesozoic, extending from about 65 million years ago to the present. During the Cenozoic, flora and fauna evolved toward their present state and the continents assumed their modern configuration. The Cenozoic comprises two periods: the Tertiary (with its five epochs) and the Quaternary.",Y,GCEN,
Quaternary,-3,-3,-4,-2600000,2100,"The Quaternary is the second major division of geologic time in the Cenozoic era, following the Tertiary period. It extends from about 1.8 million years ago to the present. It is divided into Pleistocene and Holocene epochs.",Y,QUA,
Pleistocene,-2,-2,-3,-2600000,-11700,"On the geologic time scale the earlier and longer epoch of the Quaternary. The Pleistocene extends from about 1.8 million years ago to 10,000 BCE. It is best known as the time when Earth entered its most recent period of glaciation.",Y,QPLE,
Holocene,-1,-1,-3,-11700,2100,"The second epoch of the Quaternary and the most recent geologic interval of time. It extends from about 10,000 BCE to the present. It coincides with the late and post-Stone Age history of the human species.",Y,QHOL,
PREHISTORIC,52,1,,-1000000,43,For monuments that can be identified only to a date range from Palaeolithic to Iron Age. Circa -1000000 BCE to 43 CE.,Y,PR,Prehistory
EARLY PREHISTORIC,95,2,52,-1000000,-4000,For monuments which are characteristic of the Palaeolithic to Mesolithic but cannot be specifically assigned. Circa -1000000 BCE to -4000 BCE.,Y,EPR,Early Prehistory
PALAEOLITHIC,5,3,95,-1000000,-10000,"The period once referred to as the Old Stone Age. It is defined by the practice of hunting and gathering and the use of chipped flint tools. This period is usually divided up into the Lower, Middle and Upper Palaeolithic. Circa -1000000 BCE to -10000 BCE.",Y,PA,"Old Stone Age, Paleolithic"
LOWER PALAEOLITHIC,54,4,5,-1000000,-150000,"The earliest subdivision of the Palaeolithic, or Old Stone Age; when the earliest use of flint tools appears in the current archaeological record. A hunter gatherer society is a defining characteristic. Circa -1000000 BCE to -150000 BCE.",Y,LPA,Lower Paleolithic
MIDDLE PALAEOLITHIC,55,5,5,-150000,-40000,The second subdivision of the Palaeolithic or Old Stone Age. Characterized by the fine flake tools of the Mousterian tradition and economically by a hunter gatherer society. Circa -150000 BCE to -40000 BCE.,Y,MPA,Middle Paleolithic
UPPER PALAEOLITHIC,56,6,5,-40000,-10000,The third and last subdivision of the Palaeolithic or Old Stone Age; characterized by the development of projectile points made from bony materials and the development of fine blade flint tools. Circa -40000 BCE to -10000 BCE.,Y,UPA,Upper Paleolithic
MESOLITHIC,6,7,95,-10000,-4000,"The Middle Stone Age, falling between the Palaeolithic and the Neolithic; marks the beginning of a move from a hunter gatherer society towards food producing society. Circa -10000 BCE to -4000 BCE.",Y,ME,Middle Stone Age
EARLY MESOLITHIC,57,8,6,-10000,-7000,"The earliest subdivision of the Mesolithic, or Middle Stone Age. Circa -10000 BCE to -7000 BCE.",Y,EME,Earlier Mesolithic
LATE MESOLITHIC,58,9,6,-7000,-4000,"The latest subdivision of the Mesolithic, or Middle Stone Age. Circa -7000 BCE to -4000 BCE.",Y,LME,Later Mesolithic
LATER PREHISTORIC,94,10,52,-4000,43,For monuments that can be identified only to a date range from Neolithic to Iron Age. Circa -4000 BCE to 43 CE.,Y,LPR,"Late Prehistory, Late Prehistoric"
NEOLITHIC,7,11,94,-4000,-2200,"The New Stone Age, this period follows on from the Palaeolithic and the Mesolithic and is itself succeeded by the Bronze Age. This period is characterized by the practice of a farming economy and extensive monumental constructions. Circa -4000 BCE to -2200 BCE.",Y,NE,New Stone Age
EARLY NEOLITHIC,59,12,7,-4000,-3300,"The earliest subdivision of the Neolithic, or New Stone Age. Circa -4000 BCE to -3300 BCE.",Y,ENE,Earlier Neolithic
MIDDLE NEOLITHIC,60,13,7,-3300,-2900,"The second subdivision of the Neolithic, or New Stone Age. Circa -3300 BCE to -2900 BCE.",Y,MNE,Mid Neolithic
LATE NEOLITHIC,61,14,7,-2900,-2200,"The third and latest subdivision of the Neolithic, or New Stone Age. Circa -2900 BCE to -2200 BCE.",Y,LNE,Later Neolithic
BRONZE AGE,8,15,94,-2600,-700,"This period follows on from the Neolithic and is characterized by the increasing use of Bronzework. It is subdivided in the Early, Middle and Late Bronze Age. Circa -2600 BCE to -700 BCE.",Y,BA,
EARLY BRONZE AGE,62,16,8,-2600,-1600,The earliest subdivision of the Bronze Age. Circa -2600 BCE to -1600 BCE.,Y,EBA,Earlier Bronza Age
Chalcolithic,184,16.5,62,-2500,-2200,The transitional period at the end of the Neolithic when metal is first used to make tools and weapons. New burial rites and artefacts appear at the same time as these copper implements appear. Circa -2500 BCE to -2200 BCE.,Y,CH,"Copper Age, Eneolithic"
MIDDLE BRONZE AGE,63,17,8,-1600,-1200,The second subdivision of the Bronze Age. Circa -1600 BCE to -1200 BCE.,Y,MBA,Mid Bronze Age
LATE BRONZE AGE,64,18,8,-1200,-700,The third and latest subdivision of the Bronze Age. Circa -1200 BCE to -700 BCE.,Y,LBA,Later Bronze Age
IRON AGE,9,19,94,-800,43,This period follows on from the Bronze Age and is characterized by the use of iron for making tools and monuments such as hillforts and oppida. The Iron Age is taken to end with the Roman invasion. Circa -800 BCE to 43 CE.,Y,IA,
Early Iron Age,65,20,9,-800,-300,The earliest subdivision of the Iron Age. Circa -800 BCE to -300 BCE.,Y,EIA,Earlier Iron Age
Middle Iron Age,66,21,9,-300,-100,The second subdivision of the Iron Age. Circa -300 BCE to -100 BCE.,Y,MIA,Mid Iron Age
Late Iron Age,67,22,9,-100,43,The third and latest subdivision of the Iron Age. Circa -100 BCE to 43 CE.,Y,LIA,Later Iron Age
Roman,10,23,,43,410,The Roman period traditionally begins with the Roman invasion in 43AD and ends with the emperor Honorius directing Britain to see to it's own defence in 410AD. Circa 43 CE to 410 CE.,Y,RO,Romano-British
Early Roman,187,23.2,10,43,138,The first subdivision of the Roman period corresponding roughly with the period between the Roman Invasion (43CE) and the end of the Hadrianiac period (138CE).,Y,ERO,Earlier Roman
Flavian,188,23.3,187,69,96,"Referring to the reigns of the emperors Vespasian (69-79 CE), Titus (79-81 CE), and Domitian (81-96 CE), that coincided with the dynasty established after the death of Nero in 69 CE. (Circa 69 CE to 96 CE).",Y,ROFL,
Hadrianic,189,23.4,187,117,138,Referring to the reign of Hadrian. (117 CE to 138 CE).,Y,ROHA,
Mid Roman,190,23.5,10,138,235,The second subdivision of the Roman period corresponding to the period between the start of the Antonine period (138CE) and the end of the Severan period (235CE).,Y,MRO,
Antonine,191,23.6,190,138,192,Referring to the reign of the Roman emperor Antoninus Pius and his successors (from 138 CE) until the late 2nd century. Circa 138 CE to 192 CE.,Y,ROAN,
Severan,192,23.7,190,193,235,Referring to the Severan dynasty who were Emperors of Rome between 193 CE and 235 CE. ,Y,ROSE,
Late Roman,193,23.8,10,235,410,The final subdivistion of the Roman period corresponding to the period between the end of the Severan Period and 410 CE (Circa 235 CE to 410 CE).,Y,LRO,"Later Roman, Late Antique"
1st Century,1,24,,1,100,Use for phases and events dating to the 1st Century of the common era (1 CE to 100 CE),Y,C01,First Century
Early 1st Century,122,25,1,1,32,The first third of the 1st Century of the common era. (1 CE to 32 CE).,Y,EC01,Early First Century
Mid 1st Century,123,26,1,33,66,The second third of the 1st Century of the common era (33 CE to 66 CE).,Y,MC01,Mid First Century
Late 1st Century,124,27,1,67,100,The final third of the 1st Century of the common era. (67 CE to 100 CE).,Y,LC01,Late First Century
2nd Century,2,28,,101,200,Use for phases and events dating to the 2nd Century of the common era (101 CE to 200 CE),Y,C02,Second Century
Early 2nd Century,125,29,2,101,132,The first third of the 2nd Century of the common era (101 CE to 132 CE).,Y,EC02,Early Second Century
Mid 2nd Century,126,30,2,133,166,The second third of the 2nd Century of the common era (133 CE to 166 CE).,Y,MC02,Mid Second Century
Late 2nd Century,127,31,2,167,200,The final third of the 2nd Century of the common era (167 CE to 200 CE).,Y,LC02,Late Second Century
3rd Century,3,32,,201,300,Use for phases and events dating to the 3rd Century of the common era (202 CE to 300 CE),Y,C03,Third Century
Early 3rd Century,128,33,3,201,232,The first third of the 3rd Century of the common era (201 CE to 232 CE).,Y,EC03,Early Third Century
Mid 3rd Century,129,34,3,233,266,The second third of the 3rd Century of the common era (233 CE to 266 CE).,Y,MC03,Mid Third Century
Late 3rd Century,130,35,3,267,300,The final third of the 3rd Century of the common era (267 CE to 300 CE).,Y,LC03,Late Third Century
4th Century,4,119,,301,400,Use for phases and events dating to the 4th Century of the common era (301 CE to 400 CE),Y,C04,Fourth Century
Early 4th Century,131,120,4,301,332,The first third of the 4th Century of the common era (301 CE to 332 CE).,Y,EC04,Early Fourth Century
Mid 4th Century,132,121,4,333,366,The second third of the 4th Century of the common era (333 CE to 366 CE).,Y,MC04,Mid Fourth Century
Late 4th Century,133,122,4,367,400,The final third of the 4th Century of the common era (367 CE to 400 CE).,Y,LC04,Late Fourth Century
